,EXECUTION_DATE,team,num,name,min,pts,ass,reb,stl,blk,to,foul,%,2%,3%,3#,3#/,2#,2#/,1#,1#/,EFF
0,2026/01/21,PHX,3,Dillon Brooks,PT30M16.00S,6,1,5,1,1,2,1,0.153846153846154,0.2,0.0,0,3,2,10,2,2,-7.0
1,2026/01/21,PHX,00,Royce O'Neale,PT23M40.60S,9,2,3,0,0,1,1,0.428571428571429,0.0,0.428571428571429,3,7,0,0,0,0,-5.0
2,2026/01/21,PHX,15,Mark Williams,PT18M11.30S,4,0,9,0,0,5,3,0.666666666666666,0.666666666666666,0.0,0,0,2,3,0,0,-3.0
3,2026/01/21,PHX,1,Devin Booker,PT33M34.00S,27,4,3,1,0,6,4,0.39130434782608703,0.388888888888889,0.4,2,5,7,18,7,7,-10.0
4,2026/01/21,PHX,12,Collin Gillespie,PT27M59.10S,12,4,4,0,0,2,3,0.5,0.0,0.5,3,6,0,0,3,3,7.0
5,2026/01/21,PHX,8,Grayson Allen,PT28M55.00S,16,6,5,1,0,0,1,0.45454545454545503,0.5,0.444444444444444,4,9,1,2,2,2,11.0
6,2026/01/21,PHX,11,Oso Ighodaro,PT28M59.00S,12,3,5,0,1,4,3,0.714285714285714,0.714285714285714,0.0,0,0,5,7,2,2,10.0
7,2026/01/21,PHX,4,Jalen Green,PT19M56.20S,12,3,2,0,0,2,1,0.36363636363636404,0.28571428571428603,0.5,2,4,2,7,2,2,10.0
8,2026/01/21,PHX,23,Jordan Goodwin,PT19M56.60S,16,2,5,2,0,0,1,0.666666666666666,0.8,0.5,2,4,4,5,2,2,9.0
9,2026/01/21,PHX,0,Ryan Dunn,PT08M32.20S,2,0,1,0,0,0,3,0.5,1.0,0.0,0,1,1,1,0,0,8.0
10,2026/01/21,PHI,9,Kelly Oubre Jr.,PT34M00.00S,21,1,4,2,0,2,4,0.4,0.2,0.5,5,10,1,5,4,6,13.0
11,2026/01/21,PHI,25,Dominick Barlow,PT27M37.70S,8,2,5,2,0,1,2,0.5,0.75,0.0,0,2,3,4,2,2,-4.0
12,2026/01/21,PHI,1,Andre Drummond,PT21M45.00S,8,1,15,0,1,2,2,0.4,0.5,0.0,0,2,4,8,0,0,-2.0
13,2026/01/21,PHI,77,VJ Edgecombe,PT36M45.00S,25,1,7,2,1,4,3,0.476190476190476,0.5714285714285711,0.28571428571428603,2,7,8,14,3,4,5.0
14,2026/01/21,PHI,0,Tyrese Maxey,PT42M42.50S,20,7,2,3,1,2,3,0.28,0.29411764705882404,0.25,2,8,5,17,4,5,3.0
15,2026/01/21,PHI,30,Adem Bona,PT26M15.00S,11,0,10,0,2,4,2,0.8,0.8,0.0,0,0,4,5,3,4,-4.0
16,2026/01/21,PHI,5,Quentin Grimes,PT26M55.00S,12,5,4,3,0,3,2,0.428571428571429,0.5,0.333333333333333,1,3,2,4,5,6,-11.0
17,2026/01/21,PHI,33,Jabari Walker,PT06M24.00S,0,0,1,0,0,0,2,0.0,0.0,0.0,0,1,0,0,0,0,-3.0
18,2026/01/21,PHI,11,Justin Edwards,PT12M01.80S,5,2,1,0,1,0,1,1.0,1.0,1.0,1,1,1,1,0,0,-17.0
19,2026/01/21,PHI,12,Trendon Watford,PT05M34.00S,0,1,0,0,0,1,1,0.0,0.0,0.0,0,0,0,1,0,0,-10.0
20,2026/01/21,LAC,4,Kobe Sanders,PT25M02.00S,8,3,2,1,0,0,1,0.6,1.0,0.333333333333333,1,3,2,2,1,1,-11.0
